season,home_team,away_team,home_score,away_score,location
2017,New England,Kansas City,27,42,1
2017,Detroit,Arizona,35,23,1
2017,Cleveland,Pittsburgh,18,21,1
2017,Chicago,Atlanta,17,23,1
2017,Cincinnati,Baltimore,0,20,1
2017,Buffalo,NY Jets,21,12,1
2017,Tennessee,Las Vegas,16,26,1
2017,Houston,Jacksonville,7,29,1
2017,Washington,Philadelphia,17,30,1
2017,LA Rams,Indianapolis,46,9,1
2017,Green Bay,Seattle,17,9,1
2017,San Francisco,Carolina,3,23,1
2017,Dallas,NY Giants,19,3,1
2017,Minnesota,New Orleans,29,19,1
2017,Denver,LA Chargers,24,21,1
2017,Cincinnati,Houston,9,13,1
2017,Carolina,Buffalo,9,3,1
2017,New Orleans,New England,20,36,1
2017,Jacksonville,Tennessee,16,37,1
2017,Pittsburgh,Minnesota,26,9,1
2017,Baltimore,Cleveland,24,10,1
2017,Indianapolis,Arizona,13,16,1
2017,Kansas City,Philadelphia,27,20,1
2017,Tampa Bay,Chicago,29,7,1
2017,Las Vegas,NY Jets,45,20,1
2017,LA Chargers,Miami,17,19,1
2017,LA Rams,Washington,20,27,1
2017,Seattle,San Francisco,12,9,1
2017,Denver,Dallas,42,17,1
2017,Atlanta,Green Bay,34,23,1
2017,NY Giants,Detroit,10,24,1
2017,San Francisco,LA Rams,39,41,1
2017,Jacksonville,Baltimore,44,7,0
2017,NY Jets,Miami,20,6,1
2017,Minnesota,Tampa Bay,34,17,1
2017,Indianapolis,Cleveland,31,28,1
2017,Chicago,Pittsburgh,23,17,1
2017,Carolina,New Orleans,13,34,1
2017,Buffalo,Denver,26,16,1
2017,New England,Houston,36,33,1
2017,Detroit,Atlanta,26,30,1
2017,Philadelphia,NY Giants,27,24,1
2017,Tennessee,Seattle,33,27,1
2017,LA Chargers,Kansas City,10,24,1
2017,Green Bay,Cincinnati,27,24,1
2017,Washington,Las Vegas,27,10,1
2017,Arizona,Dallas,17,28,1
2017,Green Bay,Chicago,35,14,1
2017,Miami,New Orleans,0,20,0
2017,Minnesota,Detroit,7,14,1
2017,NY Jets,Jacksonville,23,20,1
2017,New England,Carolina,30,33,1
2017,Dallas,LA Rams,30,35,1
2017,Cleveland,Cincinnati,7,31,1
2017,Baltimore,Pittsburgh,9,26,1
2017,Atlanta,Buffalo,17,23,1
2017,Houston,Tennessee,57,14,1
2017,Tampa Bay,NY Giants,25,23,1
2017,Arizona,San Francisco,18,15,1
2017,LA Chargers,Philadelphia,24,26,1
2017,Denver,Las Vegas,16,10,1
2017,Seattle,Indianapolis,46,18,1
2017,Kansas City,Washington,29,20,1
2017,Tampa Bay,New England,14,19,1
2017,Indianapolis,San Francisco,26,23,1
2017,Miami,Tennessee,16,10,1
2017,Philadelphia,Arizona,34,7,1
2017,NY Giants,LA Chargers,22,27,1
2017,Cleveland,NY Jets,14,17,1
2017,Pittsburgh,Jacksonville,9,30,1
2017,Cincinnati,Buffalo,20,16,1
2017,Detroit,Carolina,24,27,1
2017,Las Vegas,Baltimore,17,30,1
2017,LA Rams,Seattle,10,16,1
2017,Dallas,Green Bay,31,35,1
2017,Houston,Kansas City,34,42,1
2017,Chicago,Minnesota,17,20,1
2017,Carolina,Philadelphia,23,28,1
2017,New Orleans,Detroit,52,38,1
2017,NY Jets,New England,17,24,1
2017,Houston,Cleveland,33,17,1
2017,Washington,San Francisco,26,24,1
2017,Minnesota,Green Bay,23,10,1
2017,Baltimore,Chicago,24,27,1
2017,Atlanta,Miami,17,20,1
2017,Jacksonville,LA Rams,17,27,1
2017,Arizona,Tampa Bay,38,33,1
2017,Las Vegas,LA Chargers,16,17,1
2017,Kansas City,Pittsburgh,13,19,1
2017,Denver,NY Giants,10,23,1
2017,Tennessee,Indianapolis,36,22,1
2017,Las Vegas,Kansas City,31,30,1
2017,Miami,NY Jets,31,28,1
2017,Minnesota,Baltimore,24,16,1
2017,Indianapolis,Jacksonville,0,27,1
2017,Green Bay,New Orleans,17,26,1
2017,Cleveland,Tennessee,9,12,1
2017,Buffalo,Tampa Bay,30,27,1
2017,LA Rams,Arizona,33,0,0
2017,Chicago,Carolina,17,3,1
2017,San Francisco,Dallas,10,40,1
2017,Pittsburgh,Cincinnati,29,14,1
2017,LA Chargers,Denver,21,0,1
2017,NY Giants,Seattle,7,24,1
2017,New England,Atlanta,23,7,1
2017,Philadelphia,Washington,34,24,1
2017,Baltimore,Miami,40,0,1
2017,Cleveland,Minnesota,16,33,0
2017,Buffalo,Las Vegas,34,14,1
2017,Cincinnati,Indianapolis,24,23,1
2017,New Orleans,Chicago,20,12,1
2017,Philadelphia,San Francisco,33,10,1
2017,NY Jets,Atlanta,20,25,1
2017,New England,LA Chargers,21,13,1
2017,Tampa Bay,Carolina,3,17,1
2017,Seattle,Houston,41,38,1
