year,teams,games,points,yards,plays,yards_per_play,TO,fumbles,first_downs,completions,pass_att,pass_yards,pass_TD,interceptions,pass_yards_per_att,pass_fd,rush_att,rush_yards,rush_TD,rush_yards_per_att,rush_fd,penalties,pen_yds,pen_fd,num_drives,score_pct,TO%,plays_per_drive,yards_per_drive,pts_per_drive
1936,9,12,11.9,225.28,56.57,3.98,2,0,10.8,5.59,15.33,82.97,0.62,2,5.41,0,41.23,142.32,0.72,3.45,10.8,0,25.95,0,,,,,,
1937,10,11,12.9,219.87,55.25,3.98,1.87,0,9.98,6.34,16.5,92.97,0.82,1.87,5.63,0,38.75,126.9,0.61,3.27,9.98,0,25.23,0,,,,,,
1938,10,11,13.5,230.45,56.12,4.11,2.01,0,10.82,7.49,18.45,105.83,0.85,2.01,5.74,0,37.66,124.62,0.75,3.31,10.82,0,25.87,0,,,,,,
1939,10,11,15.4,249.43,57.39,4.35,1.9,0,11.08,8.65,20.35,128.8,0.9,1.9,6.33,0,37.05,120.63,0.93,3.26,11.08,0,25.11,0,,,,,,
1940,10,11,15.1,244.98,58.09,4.22,2.03,0,11.46,8.8,20.49,125.35,0.91,2.03,6.12,0,37.6,119.64,0.91,3.18,11.46,0,30.56,0,,,,,,
1941,10,11,16.47,238.52,57.15,4.17,3.15,1.15,11.56,8.89,20.09,121.79,0.9,2,6.06,4.36,37.05,116.73,1.04,3.15,6.36,4.29,38.35,0.84,,,,,,
1942,10,11,15.86,246.81,57.28,4.31,3.05,1.05,11.8,8.96,20.45,123.71,0.98,1.99,6.05,4.62,36.84,123.1,0.88,3.34,6.25,4.75,40.05,0.93,,,,,,
1943,10,10,15.56,207.72,46.77,4.44,2.56,0.74,9.35,7.69,17.32,113.08,1.14,1.82,6.53,3.61,29.45,94.64,0.85,3.21,5.03,4.39,35.8,0.71,,,,,,
1944,11,10,16.37,225.67,53.07,4.25,3.14,1.01,10.41,8.24,19.22,117.5,1.06,2.13,6.11,4.2,33.85,108.17,1.07,3.2,5.41,6.23,48.7,0.8,,,,,,
1945,10,10,18.49,266.49,57.25,4.65,3.02,1.09,12.11,9.61,21.07,143.77,1.09,1.93,6.82,4.78,36.18,122.72,1.34,3.39,6.15,6.3,57.06,1.18,,,,,,
1946,10,11,18.9,268.59,59.09,4.55,3.62,1.69,14.79,9.54,21.28,143.05,1.15,1.93,6.72,5.85,37.81,125.54,1.28,3.32,7.58,7.55,67.4,1.36,,,,,,
1947,10,12,21.95,319.57,60.6,5.27,3.46,1.38,16.6,11.72,24.93,180.58,1.57,2.08,7.24,7.32,35.68,138.98,1.13,3.9,7.63,7.58,68.88,1.66,,,,,,
1948,10,12,23.24,325.41,63.88,5.09,3.48,1.54,17.44,12.48,25.97,173.93,1.63,1.93,6.7,7.53,37.91,151.48,1.26,4,8.43,7.53,67.73,1.48,,,,,,
