league,season,team,wins,losses,games,scored,allowed,close_wins,close_losses,close_games
MLB,1901,Philadelphia Phillies,83,57,140,668,543,26,23,49
MLB,1901,St. Louis Cardinals,76,64,140,785,682,22,19,41
MLB,1901,Los Angeles Dodgers,79,56,135,736,592,23,17,40
MLB,1901,Atlanta Braves,69,69,138,520,545,27,24,51
MLB,1901,Cincinnati Reds,52,87,139,550,807,18,23,41
MLB,1901,Chicago White Sox,83,53,136,814,626,15,12,27
MLB,1901,Detroit Tigers,72,61,133,732,685,19,15,34
MLB,1901,San Francisco Giants,51,85,136,520,731,13,19,32
MLB,1901,Oakland Athletics,74,62,136,792,747,16,15,31
MLB,1901,New York Yankees,68,63,131,745,735,14,12,26
MLB,1901,Chicago Cubs,53,86,139,574,695,17,22,39
MLB,1901,Pittsburgh Pirates,90,49,139,771,529,17,16,33
MLB,1901,Minnesota Twins,61,72,133,651,740,12,16,28
MLB,1901,Cleveland Guardians,54,82,136,657,822,12,17,29
MLB,1901,Baltimore Orioles,48,89,137,633,820,17,18,35
MLB,1901,Boston Red Sox,79,57,136,749,598,14,14,28
MLB,1902,St. Louis Cardinals,56,78,134,495,673,24,20,44
MLB,1902,San Francisco Giants,48,90,138,395,594,15,22,37
MLB,1902,Los Angeles Dodgers,75,63,138,549,504,19,19,38
MLB,1902,Cincinnati Reds,70,70,140,633,566,19,19,38
MLB,1902,Philadelphia Phillies,56,81,137,481,647,19,23,42
MLB,1902,Atlanta Braves,73,63,136,561,505,23,17,40
MLB,1902,Boston Red Sox,77,60,137,660,596,17,19,36
MLB,1902,Chicago Cubs,70,69,139,534,495,15,17,32
MLB,1902,Pittsburgh Pirates,102,36,138,765,429,15,12,27
MLB,1902,New York Yankees,50,87,137,704,837,18,20,38
MLB,1902,Minnesota Twins,61,75,136,700,783,17,11,28
MLB,1902,Chicago White Sox,74,60,134,662,589,20,22,42
MLB,1902,Baltimore Orioles,77,58,135,608,596,27,20,47
MLB,1902,Detroit Tigers,52,83,135,559,650,11,21,32
MLB,1902,Oakland Athletics,83,53,136,771,632,22,14,36
MLB,1902,Cleveland Guardians,69,67,136,683,664,16,21,37
MLB,1903,St. Louis Cardinals,43,94,137,491,781,20,19,39
MLB,1903,Cincinnati Reds,74,65,139,757,648,12,16,28
MLB,1903,San Francisco Giants,84,55,139,711,549,12,17,29
MLB,1903,Philadelphia Phillies,49,86,135,601,722,11,17,28
MLB,1903,Boston Red Sox,91,47,138,697,493,19,16,35
MLB,1903,Atlanta Braves,58,80,138,572,693,15,14,29
MLB,1903,Pittsburgh Pirates,91,49,140,791,611,23,11,34
MLB,1903,Los Angeles Dodgers,70,66,136,653,668,17,18,35
MLB,1903,Oakland Athletics,75,60,135,592,514,23,21,44
MLB,1903,Minnesota Twins,43,94,137,428,682,15,23,38
MLB,1903,Detroit Tigers,65,71,136,561,533,18,30,48
MLB,1903,Chicago Cubs,82,56,138,695,599,19,17,36
MLB,1903,Baltimore Orioles,65,74,139,500,525,18,17,35
MLB,1903,Cleveland Guardians,77,63,140,639,579,19,18,37
MLB,1903,New York Yankees,72,62,134,572,566,22,11,33
MLB,1903,Chicago White Sox,60,77,137,510,607,20,18,38
MLB,1904,Philadelphia Phillies,52,100,152,568,781,16,25,41
MLB,1904,New York Yankees,92,59,151,592,520,35,17,52
MLB,1904,Minnesota Twins,38,113,151,423,729,16,32,48
MLB,1904,Los Angeles Dodgers,56,97,153,496,613,17,34,51
MLB,1904,Cincinnati Reds,88,65,153,683,535,24,18,42
MLB,1904,Chicago White Sox,89,65,154,594,476,33,24,57
MLB,1904,Baltimore Orioles,65,87,152,471,594,22,27,49
MLB,1904,St. Louis Cardinals,74,79,153,601,594,22,23,45
MLB,1904,Boston Red Sox,95,59,154,606,464,31,15,46
MLB,1904,San Francisco Giants,106,46,152,738,468,22,18,40
MLB,1904,Pittsburgh Pirates,87,66,153,669,586,26,16,42
MLB,1904,Oakland Athletics,81,70,151,548,494,25,27,52
MLB,1904,Chicago Cubs,93,60,153,589,509,29,18,47
MLB,1904,Atlanta Braves,55,98,153,488,746,21,25,46
MLB,1904,Cleveland Guardians,86,65,151,646,481,17,28,45
MLB,1904,Detroit Tigers,62,90,152,485,607,20,29,49
MLB,1905,St. Louis Cardinals,58,96,154,535,734,24,26,50
MLB,1905,San Francisco Giants,105,47,152,765,490,29,18,47
MLB,1905,Oakland Athletics,92,56,148,606,471,32,28,60
MLB,1905,Minnesota Twins,64,87,151,550,614,21,32,53
MLB,1905,Los Angeles Dodgers,48,104,152,499,800,20,26,46
MLB,1905,Cincinnati Reds,79,74,153,726,688,21,22,43
MLB,1905,Chicago White Sox,92,60,152,596,435,31,20,51
MLB,1905,Cleveland Guardians,76,78,154,562,585,23,19,42
MLB,1905,Atlanta Braves,51,103,154,464,729,21,29,50
MLB,1905,Pittsburgh Pirates,95,57,152,683,561,31,16,47
MLB,1905,Detroit Tigers,79,74,153,509,601,32,16,48
MLB,1905,Chicago Cubs,92,61,153,660,435,30,32,62
MLB,1905,Baltimore Orioles,54,99,153,500,596,17,35,52
MLB,1905,Boston Red Sox,78,74,152,578,564,24,28,52
MLB,1905,Philadelphia Phillies,83,69,152,696,591,18,25,43
MLB,1905,New York Yankees,71,78,149,574,609,20,22,42
MLB,1906,St. Louis Cardinals,52,98,150,462,599,13,30,43
MLB,1906,Philadelphia Phillies,71,82,153,527,563,19,31,50
MLB,1906,Los Angeles Dodgers,66,86,152,495,624,28,24,52
MLB,1906,Cincinnati Reds,64,87,151,527,576,26,22,48
MLB,1906,New York Yankees,89,61,150,627,530,29,16,45
MLB,1906,Minnesota Twins,55,95,150,518,664,17,23,40
MLB,1906,Pittsburgh Pirates,93,60,153,623,470,25,18,43
MLB,1906,Detroit Tigers,71,78,149,509,589,32,27,59
MLB,1906,Chicago Cubs,115,36,151,697,374,27,13,40
MLB,1906,Boston Red Sox,49,105,154,460,703,14,29,43
MLB,1906,Baltimore Orioles,76,73,149,547,486,15,21,36
MLB,1906,Oakland Athletics,78,66,144,553,531,25,22,47
MLB,1906,San Francisco Giants,96,55,151,622,506,29,20,49
MLB,1906,Chicago White Sox,93,58,151,564,457,29,19,48
MLB,1906,Atlanta Braves,49,102,151,406,647,21,30,51
MLB,1906,Cleveland Guardians,89,64,153,653,471,21,25,46
MLB,1907,San Francisco Giants,82,71,153,570,506,31,31,62
MLB,1907,Oakland Athletics,88,57,145,566,493,23,17,40
MLB,1907,Minnesota Twins,49,102,151,501,688,14,31,45
MLB,1907,Detroit Tigers,92,58,150,679,517,31,16,47
MLB,1907,Cincinnati Reds,66,87,153,516,509,22,39,61
MLB,1907,Chicago Cubs,108,44,152,564,380,37,16,53
MLB,1907,Baltimore Orioles,69,83,152,532,546,22,34,56
MLB,1907,Atlanta Braves,58,90,148,490,640,23,31,54
MLB,1907,Philadelphia Phillies,83,64,147,511,473,27,19,46
MLB,1907,New York Yankees,70,78,148,590,652,22,19,41
MLB,1907,Los Angeles Dodgers,65,83,148,436,512,23,30,53
MLB,1907,Boston Red Sox,59,90,149,449,541,22,30,52
MLB,1907,Pittsburgh Pirates,91,63,154,623,499,29,18,47
MLB,1907,Cleveland Guardians,85,67,152,523,517,27,19,46
MLB,1907,Chicago White Sox,87,64,151,574,460,24,19,43
MLB,1907,St. Louis Cardinals,51,102,153,415,606,21,29,50
MLB,1908,Philadelphia Phillies,83,71,154,504,445,28,26,54
MLB,1908,New York Yankees,51,103,154,454,707,24,28,52
MLB,1908,Los Angeles Dodgers,53,101,154,375,516,18,36,54
MLB,1908,Cleveland Guardians,90,64,154,562,452,30,24,54
MLB,1908,Cincinnati Reds,73,81,154,484,539,20,25,45
MLB,1908,Chicago White Sox,88,64,152,528,461,35,23,58
MLB,1908,Boston Red Sox,75,79,154,562,511,21,26,47
MLB,1908,St. Louis Cardinals,49,105,154,372,626,20,27,47
MLB,1908,Detroit Tigers,90,63,153,643,543,27,21,48
MLB,1908,San Francisco Giants,98,56,154,644,448,26,20,46
MLB,1908,Pittsburgh Pirates,98,56,154,583,466,33,12,45
